@attribute Summary string
@attribute measureExtraArcs numeric
@attribute measureMissingArcs numeric
@attribute measureReversedArcs numeric
@attribute measureDivergence numeric
@attribute measureBayesScore numeric
@attribute measureBDeuScore numeric
@attribute measureMDLScore numeric
@attribute measureAICScore numeric
@attribute measureEntropyScore numeric

@data

communities.data,3,10,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20091208.0219,1795,199,158,41,0,79.396985,20.603015,0,0.460134,0.206178,0.446229,67.804428,114.695403,137.88723,3909.135465,-3771.248235,0.692901,19.643897,-18.950996,26.595511,0.133646,3813.18741,0.796296,129,0.216216,8,0.783784,29,0.203704,33,0.941606,0.796296,0.862876,0.854855,0.79397,0.21389,0.78611,0.20603,0.8535,0.79397,0.81137,0.853319,0.078,0.018,0.078125,0.015625,112124,1599260,237872,?,?,?,?,?,?,?,?,?,?
communities.data,4,1,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20091208.0219,1794,200,165,35,0,82.5,17.5,0,0.53838,0.170644,0.405408,55.704763,103.339303,140.29955,1720.068787,-1579.769237,0.701498,8.600344,-7.898846,47.553701,0.237769,6827.458379,0.820988,133,0.157895,6,0.842105,32,0.179012,29,0.956835,0.820988,0.883721,0.909194,0.825,0.161907,0.838093,0.175,0.874708,0.825,0.838642,0.908361,0.079,0.02,0.078125,0.015625,112124,1598407,238725,?,?,?,?,?,?,?,?,?,?
communities.data,4,2,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20091208.0219,1794,200,171,29,0,85.5,14.5,0,0.568067,0.147547,0.377893,48.164991,96.325501,140.29955,1135.544441,-995.244891,0.701498,5.677722,-4.976224,60.342161,0.301711,8663.544331,0.882716,143,0.263158,10,0.736842,28,0.117284,19,0.934641,0.882716,0.907937,0.879792,0.855,0.235442,0.764558,0.145,0.87025,0.855,0.860605,0.880641,0.085,0.023,0.09375,0.015625,112124,1598407,238725,?,?,?,?,?,?,?,?,?,?
communities.data,4,3,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20091208.0219,1794,200,164,36,0,82,18,0,0.51325,0.179849,0.413661,58.709689,105.442925,140.29955,1553.365972,-1413.066422,0.701498,7.76683,-7.065332,42.244614,0.211223,6065.213413,0.82716,134,0.210526,8,0.789474,30,0.17284,28,0.943662,0.82716,0.881579,0.888645,0.82,0.203366,0.796634,0.18,0.862642,0.82,0.832829,0.889432,0.085,0.022,0.09375,0.015625,112124,1598407,238725,?,?,?,?,?,?,?,?,?,?
communities.data,4,4,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20091208.0219,1794,200,176,24,0,88,12,0,0.645809,0.121644,0.339959,39.709369,86.656139,140.29955,3077.653853,-2937.354303,0.701498,15.388269,-14.686772,73.635074,0.368175,10572.05623,0.895062,145,0.184211,7,0.815789,31,0.104938,17,0.953947,0.895062,0.923567,0.914474,0.88,0.169149,0.830851,0.12,0.895406,0.88,0.885066,0.916094,0.086,0.019,0.09375,0.015625,112124,1598407,238725,?,?,?,?,?,?,?,?,?,?
communities.data,4,5,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20091208.0219,1795,199,170,29,0,85.427136,14.572864,0,0.583712,0.150423,0.382949,49.468524,98.430428,137.88723,2949.057534,-2811.170305,0.692901,14.819385,-14.126484,56.966737,0.286265,8167.726018,0.864198,140,0.189189,7,0.810811,30,0.135802,22,0.952381,0.864198,0.906149,0.868619,0.854271,0.179263,0.820737,0.145729,0.882572,0.854271,0.863015,0.87155,0.088,0.02,0.078125,0.015625,112124,1599260,237872,?,?,?,?,?,?,?,?,?,?
communities.data,4,6,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20091208.0219,1795,199,167,32,0,83.919598,16.080402,0,0.552746,0.155556,0.384491,51.156724,98.82655,137.88723,1693.319979,-1555.43275,0.692901,8.509146,-7.816245,53.251882,0.267597,7635.100827,0.845679,137,0.189189,7,0.810811,30,0.154321,25,0.951389,0.845679,0.895425,0.909576,0.839196,0.182706,0.817294,0.160804,0.875914,0.839196,0.850197,0.908646,0.086,0.124,0.078125,0,112124,1599260,237872,?,?,?,?,?,?,?,?,?,?
communities.data,4,7,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20091208.0219,1795,199,171,28,0,85.929648,14.070352,0,0.59441,0.145501,0.376561,47.849877,96.788501,137.88723,2236.587149,-2098.699919,0.692901,11.239131,-10.546231,59.351567,0.298249,8509.656003,0.87037,141,0.189189,7,0.810811,30,0.12963,21,0.952703,0.87037,0.909677,0.898315,0.859296,0.178115,0.821885,0.140704,0.884937,0.859296,0.867312,0.898889,0.082,0.019,0.09375,0.015625,112124,1599260,237872,?,?,?,?,?,?,?,?,?,?
communities.data,4,8,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20091208.0219,1795,199,165,34,0,82.914573,17.085427,0,0.5163,0.166413,0.40113,54.727023,103.103338,137.88723,1362.99325,-1225.10602,0.692901,6.849212,-6.156312,47.184165,0.237106,6765.12911,0.845679,137,0.243243,9,0.756757,28,0.154321,25,0.938356,0.845679,0.88961,0.924925,0.829146,0.22671,0.77329,0.170854,0.862115,0.829146,0.839895,0.924056,0.081,0.023,0.0625,0.015625,112124,1599260,237872,?,?,?,?,?,?,?,?,?,?
communities.data,4,9,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20091208.0219,1795,199,162,37,0,81.407035,18.592965,0,0.487363,0.19023,0.430592,62.559785,110.676146,137.88723,3606.88434,-3468.997111,0.692901,18.125047,-17.432146,35.391736,0.177848,5074.364699,0.82716,134,0.243243,9,0.756757,28,0.17284,28,0.937063,0.82716,0.878689,0.871205,0.81407,0.230153,0.769847,0.18593,0.8558,0.81407,0.827272,0.867606,0.081,0.019,0.078125,0.03125,112124,1599260,237872,?,?,?,?,?,?,?,?,?,?
communities.data,4,10,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20091208.0219,1795,199,174,25,0,87.437186,12.562814,0,0.613232,0.13171,0.353945,43.314519,90.975458,137.88723,891.064525,-753.177296,0.692901,4.477711,-3.784811,66.262984,0.33298,9500.594981,0.901235,146,0.243243,9,0.756757,28,0.098765,16,0.941935,0.901235,0.921136,0.925092,0.874372,0.216381,0.783619,0.125628,0.885121,0.874372,0.878413,0.924968,0.081,0.018,0.078125,0,112124,1599260,237872,?,?,?,?,?,?,?,?,?,?
communities.data,5,1,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20091208.0219,1794,200,174,26,0,87,13,0,0.623188,0.132638,0.355821,43.298023,90.699366,140.29955,1207.313933,-1067.014383,0.701498,6.03657,-5.335072,68.42489,0.342124,9824.011098,0.882716,143,0.184211,7,0.815789,31,0.117284,19,0.953333,0.882716,0.916667,0.90294,0.87,0.171494,0.828506,0.13,0.89,0.87,0.876364,0.902246,0.081,0.016,0.078125,0.015625,112124,1598407,238725,?,?,?,?,?,?,?,?,?,?
communities.data,5,2,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20091208.0219,1794,200,171,29,0,85.5,14.5,0,0.590742,0.144152,0.374236,47.056698,95.393515,140.29955,2327.065307,-2186.765757,0.701498,11.635327,-10.933829,61.663158,0.308316,8853.204572,0.864198,140,0.184211,7,0.815789,31,0.135802,22,0.952381,0.864198,0.906149,0.910981,0.855,0.175013,0.824987,0.145,0.882561,0.855,0.863431,0.912123,0.08,0.02,0.078125,0.015625,112124,1598407,238725,?,?,?,?,?,?,?,?,?,?
communities.data,5,3,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20091208.0219,1794,200,165,35,0,82.5,17.5,0,0.514563,0.173993,0.408699,56.798175,104.178069,140.29955,1779.86511,-1639.56556,0.701498,8.899326,-8.197828,45.665105,0.228326,6556.30575,0.839506,136,0.236842,9,0.763158,29,0.160494,26,0.937931,0.839506,0.885993,0.885802,0.825,0.222336,0.777664,0.175,0.859906,0.825,0.836149,0.884907,0.081,0.019,0.09375,0.015625,112124,1598407,238725,?,?,?,?,?,?,?,?,?,?
