@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Summary string

@data

communities.data,4,7,weka.classifiers.lazy.KStar,'-B 20 -M a',332458330800479083,20091208.0344,1795,199,168,31,0,84.422111,15.577889,0,0.444884,0.156446,0.391488,51.449332,100.625188,137.88723,1291.569491,-1153.682262,0.692901,6.490299,-5.797398,53.491077,0.268799,7669.395867,0.925926,150,0.513514,19,0.486486,18,0.074074,12,0.887574,0.925926,0.906344,0.826493,0.844221,0.431809,0.568191,0.155779,0.834105,0.844221,0.837731,0.835675,0,50.949,0,44.765625,1849254,1599260,237872,?
communities.data,4,8,weka.classifiers.lazy.KStar,'-B 20 -M a',332458330800479083,20091208.0345,1795,199,169,30,0,84.924623,15.075377,0,0.468767,0.150992,0.386123,49.655832,99.246066,137.88723,1443.066724,-1305.179494,0.692901,7.251592,-6.558691,56.474968,0.283794,8097.217562,0.925926,150,0.486486,18,0.513514,19,0.074074,12,0.892857,0.925926,0.909091,0.829496,0.849246,0.409807,0.590193,0.150754,0.840805,0.849246,0.843966,0.839748,0,50.775,0,45.421875,1853802,1599260,237872,?
communities.data,4,9,weka.classifiers.lazy.KStar,'-B 20 -M a',332458330800479083,20091208.0346,1795,199,169,30,0,84.924623,15.075377,0,0.430778,0.148916,0.379541,48.973176,97.554475,137.88723,1589.424469,-1451.537239,0.692901,7.987058,-7.294157,57.271197,0.287795,8211.378647,0.944444,153,0.567568,21,0.432432,16,0.055556,9,0.87931,0.944444,0.910714,0.819319,0.849246,0.472369,0.527631,0.150754,0.834815,0.849246,0.837349,0.823569,0.001,48.573,0,44.5,1850961,1599260,237872,?
communities.data,4,10,weka.classifiers.lazy.KStar,'-B 20 -M a',332458330800479083,20091208.0347,1795,199,166,33,0,83.417085,16.582915,0,0.366303,0.160547,0.39462,52.798112,101.430169,137.88723,1431.549593,-1293.662364,0.692901,7.193717,-6.500816,50.308677,0.252807,7213.112585,0.938272,152,0.621622,23,0.378378,14,0.061728,10,0.868571,0.938272,0.902077,0.788789,0.834171,0.517521,0.482479,0.165829,0.815537,0.834171,0.819699,0.802081,0,47.98,0,43.46875,1843467,1599260,237872,?
communities.data,5,1,weka.classifiers.lazy.KStar,'-B 20 -M a',332458330800479083,20091208.0348,1794,200,168,32,0,84,16,0,0.434629,0.159157,0.394382,51.954935,100.528721,140.29955,1183.157315,-1042.857765,0.701498,5.915787,-5.214289,53.645263,0.268226,7702.046212,0.925926,150,0.526316,20,0.473684,18,0.074074,12,0.882353,0.925926,0.903614,0.807018,0.84,0.44039,0.55961,0.16,0.828706,0.84,0.832516,0.816524,0,47.057,0,44.28125,1847402,1598407,238725,?
communities.data,5,2,weka.classifiers.lazy.KStar,'-B 20 -M a',332458330800479083,20091208.0348,1794,200,169,31,0,84.5,15.5,0,0.446231,0.150902,0.380972,49.260153,97.110503,140.29955,1015.152956,-874.853406,0.701498,5.075765,-4.374267,58.121085,0.290605,8344.656269,0.932099,151,0.526316,20,0.473684,18,0.067901,11,0.883041,0.932099,0.906907,0.871507,0.845,0.439217,0.560783,0.155,0.833194,0.845,0.836684,0.875628,0.001,47.958,0,45.296875,1853534,1598407,238725,?
communities.data,5,3,weka.classifiers.lazy.KStar,'-B 20 -M a',332458330800479083,20091208.0349,1794,200,171,29,0,85.5,14.5,0,0.503934,0.144507,0.376195,47.17268,95.892711,140.29955,1065.215726,-924.916176,0.701498,5.326079,-4.624581,61.728469,0.308642,8862.581556,0.925926,150,0.447368,17,0.552632,21,0.074074,12,0.898204,0.925926,0.911854,0.843242,0.855,0.376442,0.623558,0.145,0.848454,0.855,0.850996,0.852486,0,48.787,0,45.1875,1854308,1598407,238725,?
communities.data,5,4,weka.classifiers.lazy.KStar,'-B 20 -M a',332458330800479083,20091208.035,1794,200,169,31,0,84.5,15.5,0,0.491303,0.153172,0.386555,50.0011,98.533666,140.29955,894.738721,-754.439171,0.701498,4.473694,-3.772196,56.775014,0.283875,8151.396002,0.907407,147,0.421053,16,0.578947,22,0.092593,15,0.90184,0.907407,0.904615,0.875812,0.845,0.358645,0.641355,0.155,0.843464,0.845,0.844205,0.880056,0,48.433,0,45.734375,1857764,1598407,238725,?
communities.data,5,5,weka.classifiers.lazy.KStar,'-B 20 -M a',332458330800479083,20091208.0351,1795,199,166,33,0,83.417085,16.582915,0,0.395471,0.164925,0.401262,54.237826,103.137291,137.88723,1267.396377,-1129.509148,0.692901,6.368826,-5.675925,49.040892,0.246437,7031.341238,0.925926,150,0.567568,21,0.432432,16,0.074074,12,0.877193,0.925926,0.900901,0.839756,0.834171,0.475812,0.524188,0.165829,0.820342,0.834171,0.824931,0.846084,0,48.773,0,45.484375,1854420,1599260,237872,?
communities.data,5,6,weka.classifiers.lazy.KStar,'-B 20 -M a',332458330800479083,20091208.0352,1795,199,167,32,0,83.919598,16.080402,0,0.433351,0.160916,0.392686,52.919356,100.933079,137.88723,1238.916425,-1101.029195,0.692901,6.225711,-5.53281,51.018738,0.256376,7314.919151,0.919753,149,0.513514,19,0.486486,18,0.080247,13,0.886905,0.919753,0.90303,0.833667,0.839196,0.432956,0.567044,0.160804,0.829962,0.839196,0.833564,0.838739,0,49.472,0,45.59375,1854144,1599260,237872,?
